user,n_decisions,H_real,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
3,25,0.9988455359952018,0.8417073520058203,0.8620124032176555,0.07591709936033927,-0.26746347506584306,0.31934722611095556
5,75,0.9988455359952018,0.8804674088050792,0.8414186071750205,0.04710222751357703,0.8290223985437437,0.7912083516659334
6,75,0.9967916319816366,0.8972960523291275,0.8397547143779491,0.04704277594732377,1.2231705462196862,0.9045238190472381
7,75,0.9895875212220556,0.8629306130609029,0.8315571587108667,0.047164006625523315,0.665199091314226,0.7285308587656494
8,74,0.9466474387740497,0.7674907409634214,0.7858592819657139,0.04736571482405787,-0.3878024657819111,0.32078716851325945
9,75,0.9626147059982517,0.8317184568314493,0.8030732275549946,0.046822376403217895,0.6117850369185038,0.7029718811247551
10,25,0.9043814577244937,0.6911419099614722,0.7620041778387414,0.08106994799947961,-0.8740879897656293,0.18727250909963603
11,74,0.9915528503834039,0.8969621132648928,0.833651554997319,0.047427882021257556,1.3348805717109087,0.9362025518979241
12,25,0.5293608652873644,0.5156629249195446,0.3868459178473079,0.0722614770905723,1.7826511754081344,1.0
13,75,0.9895875212220556,0.6641067718592895,0.8316066174195875,0.04732387647852234,-3.5394362851132213,0.0020399184032638693
14,75,0.9988455359952018,0.7566810122174578,0.8418199431270952,0.047662878595968,-1.786273372855824,0.0514779408823647
15,74,0.9809470132751208,0.8788156575270202,0.8225945629092207,0.04715837428322235,1.192176267149255,0.8991240350385985
16,75,0.9988455359952018,0.7984152458934173,0.841087492424031,0.047671472140625976,-0.8951317132547317,0.18235270589176433
17,75,0.7478061583312325,0.5108785995925356,0.5824631320368387,0.041190937471580674,-1.7378709210901622,0.051797928082876685
18,25,0.9895875212220556,0.8417073520058203,0.8527172084081711,0.07623652523249126,-0.14441708051062335,0.3641054357825687
20,25,0.9709505944546686,0.8879430945988996,0.8322707647391281,0.078420597938525,0.7099197318466491,0.7279308827646894
22,73,0.9770012394218561,0.8702623251203204,0.8181542279474786,0.04745529342561199,1.0980460431568773,0.8642054317827287
23,25,0.8554508105601306,0.8405102375384607,0.7111075020535321,0.08224576001910558,1.5733666447348587,0.9730810767569297
24,74,0.8605553930586318,0.6241486458840263,0.696618359582463,0.04555983476781395,-1.5906491774556084,0.06519739210431583
25,75,0.993707106604508,0.8769600496562441,0.8358980289043542,0.047465714762195466,0.8650880105274252,0.8057677692892284
26,75,0.9043814577244937,0.7394982925833453,0.7421137625254036,0.04590520012920107,-0.05697546105227755,0.4458621655133795
27,48,0.9798687566511528,0.837405540492007,0.8272873051147822,0.05799912054256181,0.17445497936127605,0.5259389624415023
