user,n_decisions,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
3,25,0.8417073520058203,0.8621228097413847,0.07696076671935406,-0.2652709764445517,0.32086716531338744
5,75,0.8804674088050792,0.8389139767370734,0.04373820045078266,0.9500489649720446,0.8361665533378665
6,75,0.8972960523291275,0.8514942827261103,0.04325984139475367,1.0587595360109616,0.8618855245790168
7,75,0.8629306130609029,0.8472831714634332,0.04261419914285962,0.3671884468604764,0.6073757049718012
8,74,0.7674907409634214,0.786884895260435,0.04353861492360406,-0.4454472043045924,0.3013879444822207
9,75,0.8317184568314493,0.8157052997798663,0.04339909898939735,0.3689744124755936,0.6040958361665534
10,25,0.6911419099614722,0.7616137972878881,0.08109981191355395,-0.8689525371715223,0.18947242110315587
11,74,0.8969621132648928,0.8528015265861477,0.04288157045146608,1.0298267114243553,0.8652453901843926
12,25,0.5156629249195446,0.3869909937344809,0.0721862572386094,1.7824989978319923,1.0
13,75,0.6641067718592895,0.8480320114871955,0.04279194663216343,-4.298127430586753,0.0005999760009599616
14,75,0.7566810122174578,0.7849514763049673,0.04409693995601586,-0.6410980924233677,0.2439902403903844
15,74,0.8788156575270202,0.8362096572533244,0.042967641127105834,0.9915834138453105,0.8425262989480421
16,75,0.7984152458934173,0.8519006211796328,0.04278962191015357,-1.2499613901361437,0.11747530098796048
17,75,0.5108785995925356,0.5560893920783557,0.03656400946286632,-1.2364834477940758,0.11527538898444062
18,25,0.8417073520058203,0.8529967514636599,0.07616192452005474,-0.14822891528780888,0.3637854485820567
20,25,0.8879430945988996,0.8325382526276335,0.0782822437526453,0.7077574596141278,0.7249310027598896
22,73,0.8702623251203204,0.8312102118869312,0.04387766673097566,0.8900225591489842,0.8047678092876285
23,25,0.8405102375384607,0.7110660484467911,0.08175656823923784,1.5832879471272223,0.9734810607575697
24,74,0.6241486458840263,0.6203214483644967,0.03881168846683128,0.09860940532902591,0.5025798968041278
25,75,0.8769600496562441,0.8421937065630709,0.043225061907378744,0.8043098507914079,0.7872085116595336
26,75,0.7394982925833453,0.755418280377075,0.04209982443937645,-0.37814855538541314,0.32762689492420305
27,48,0.837405540492007,0.8408674758008224,0.05377194494894621,-0.06438181308305624,0.4317027318907244
28,75,0.6918115689399077,0.7865047270566964,0.04202206775272936,-2.253415007419246,0.022759089636414542
29,75,0.8180430963461721,0.8482170087195562,0.04306052700765905,-0.7007325378998991,0.21903123875044997
31,25,0.8061327092104911,0.8334238412406304,0.07707611541806367,-0.3540802735336522,0.3015879364825407
32,75,0.6129126890670168,0.6270735997902391,0.0388465111193001,-0.36453494316988433,0.32882684692612296
33,72,0.8944162843502735,0.8427824890168376,0.04408555642361744,1.1712179571306207,0.9010039598416063
34,50,0.9222288010610654,0.8472922277473519,0.053384290381984174,1.403719573258628,0.9636014559417623
36,75,0.732837650395739,0.7348960063223966,0.0425186678171046,-0.0484106401336862,0.4469821207151714
37,75,0.8871280509926857,0.837135671340467,0.042888435859369536,1.1656377447791026,0.8936842526298948
