config,hidden,layers,dropout,acc,ce,best_val_loss
C1: 1L h=32 drop=0.2,32,1,0.2,0.6414613423959218,0.6240965110726953,0.6305845254888505
C2: 2L h=32 drop=0.3,32,2,0.3,0.6516567544604928,0.6205954825159039,0.6308230206612607
C3: 1L h=64 drop=0.2,64,1,0.2,0.6508071367884452,0.6243060756357626,0.6296545192470439
C4: 2L h=16 drop=0.4,16,2,0.4,0.6444350042480883,0.626518390851195,0.6334462565808344
