user,w_R,w_MI,w_WSLS,ll_mean
3,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
5,0.7222223176348229,0.11449922146351145,0.16327846090166556,-0.6540548103069365
6,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
7,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
8,0.5070421387839578,0.22736936848417189,0.2655884927318703,-0.5661705381625437
9,0.11111115424366586,0.5003447289076275,0.3885441168487066,-0.2145591551764095
10,0.49999990028618957,0.23141409688572834,0.26858600282808215,-0.562335144618815
11,0.9999999999999982,5.746802310237526e-19,1.8627647790905876e-15,-0.6931471805599451
12,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
13,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
14,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
15,0.6478872347642711,0.15169542665764596,0.20041733857808294,-0.6298064194364014
16,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.679193265991528
17,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
18,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
20,0.2500001020984202,0.3890999662637652,0.3608999316378145,-0.3767701612564487
22,0.5142855995349334,0.22309443446580748,0.26261996599925913,-0.5700471705012936
23,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174137
24,0.760563319854226,0.09616096837043729,0.14327571177533677,-0.6642018590903261
25,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
26,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767392
27,0.5652174820611768,0.19511829826361776,0.2396642196752055,-0.5954002839805387
28,0.3055556357219951,0.35136219593976065,0.3430821683382442,-0.4274973174139217
29,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767391
31,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
32,0.7222223176348229,0.11449922146351145,0.16327846090166556,-0.6540548103069366
33,0.7246377794581165,0.11335374245017829,0.16200847809170535,-0.6547407145377209
34,0.2916665830712241,0.3603627833771726,0.34797063355160324,-0.4154129738607352
36,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
37,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
38,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.6869615765973239
39,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
40,0.6388890071764228,0.15631311974849305,0.20479787307508407,-0.6264499860467418
41,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
42,0.6760564686091611,0.13737800560958943,0.18656552578124946,-0.6397189022705719
43,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
44,0.49999990028618957,0.23141409688572834,0.26858600282808215,-0.5623351446188151
45,0.8732393873487154,0.04582550735828376,0.08093510529300088,-0.6850914051596688
46,0.8611111597109721,0.05091191023387341,0.08797693005515453,-0.6834708679894432
47,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
48,0.7323944341480991,0.10959008679977696,0.15801547905212396,-0.6569006935452204
49,0.8169014642355815,0.07035234914822866,0.11274618661618976,-0.6762896934144268
50,0.6388890071764228,0.15631311974849305,0.20479787307508407,-0.6264499860467418
51,0.8611111597109721,0.05091191023387341,0.08797693005515453,-0.6834708679894435
52,0.694444348707604,0.1281644785855612,0.17739117270683477,-0.6457101064872024
53,0.6000001070519009,0.17672188234198902,0.22327801060611016,-0.6108643020549004
54,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
55,0.6760564686091611,0.13737800560958943,0.18656552578124946,-0.6397189022705719
56,0.6478872347642711,0.15169542665764596,0.20041733857808294,-0.6298064194364014
57,0.5555553973681095,0.2004117494224218,0.24403285320946863,-0.5908422462755981
58,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
59,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
60,0.6376812418439093,0.15692779768365678,0.20539096047243405,-0.6259924284486298
62,0.5555553973681095,0.2004117494224218,0.24403285320946863,-0.5908422462755981
64,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645435
65,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
66,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
67,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599451
69,0.9722222075531032,0.007884211310989122,0.019893581135907872,-0.692761328460975
70,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.6154982822759201
71,0.5352111511685467,0.2117165042425535,0.25307234458889993,-0.5808627788667242
72,0.9428571236930441,0.018231343911017626,0.03891153239593829,-0.6915136378175001
73,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
74,0.16666672638666247,0.4513769799625985,0.38195629365073896,-0.2868359830561666
75,0.44444436095370476,0.26391786695837877,0.29163777208791636,-0.5297061990576596
76,0.9999999999999978,7.050296383256476e-19,2.189777318079824e-15,-0.6931471805599451
77,0.6388890071764228,0.15631311974849305,0.20479787307508407,-0.6264499860467418
78,0.42253533218220324,0.27706717966541056,0.3003974881523863,-0.5156313179187696
80,0.8611111597109721,0.05091191023387341,0.08797693005515453,-0.6834708679894432
81,0.9444444696531317,0.01764208476130887,0.03791344558555938,-0.691603175869498
