user,n_decisions,H_real,H_shuffle_mean,H_shuffle_std,z_marginal,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window
3,25,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.8417073520058203,0.8635858929457129,0.0773822938864354,-0.2827331659617262
5,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.8804674088050792,0.8405358440261969,0.04656496578192842,0.8575452404687384
6,75,0.9967916319816366,0.9967916319816367,1.1102230246251565e-16,-1.0,0.8972960523291275,0.8406388200815541,0.04769770873927375,1.1878397043613633
7,75,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.8629306130609029,0.8337269174636092,0.046926254596290524,0.6223316957326969
8,74,0.9466474387740497,0.94664743877405,3.3306690738754696e-16,-1.0,0.7674907409634214,0.7866599307118081,0.047891910864281614,-0.4002594467927836
9,75,0.9626147059982517,0.962614705998252,3.3306690738754696e-16,-1.0,0.8317184568314493,0.8056848392831854,0.04728680944027679,0.55054713685313
10,25,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.6911419099614722,0.7629746360253328,0.08018102368217442,-0.8958818778442488
11,74,0.9915528503834039,0.9915528503834037,2.220446049250313e-16,1.0,0.8969621132648928,0.8345647654341438,0.048045449711337576,1.298715033486818
12,25,0.5293608652873644,0.5293608652873643,1.1102230246251565e-16,1.0,0.5156629249195446,0.3846209590417583,0.07208247859207327,1.8179447826617414
13,75,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.6641067718592895,0.8311047556095847,0.0463786799581165,-3.6007489626937907
14,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.7566810122174578,0.841946664220648,0.04688131423519395,-1.818755582990484
15,74,0.9809470132751208,0.9809470132751206,2.220446049250313e-16,1.0,0.8788156575270202,0.82296212608381,0.04739713090479824,1.1784158740620274
16,75,0.9988455359952018,0.9988455359952014,3.3306690738754696e-16,1.0,0.7984152458934173,0.8420296249474906,0.04756445634715254,-0.9169531705723841
17,75,0.7478061583312325,0.7478061583312327,1.1102230246251565e-16,-1.0,0.5108785995925356,0.5815120572757123,0.04218391972444583,-1.674416653183707
18,25,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.8417073520058203,0.8479996141139496,0.0795111206887941,-0.0791368811509682
20,25,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.8879430945988996,0.8362128652352995,0.07822727437820039,0.6612812446142933
22,73,0.9770012394218561,0.9770012394218561,0.0,0.0,0.8702623251203204,0.8170165020544267,0.047586504297978185,1.1189269699761497
23,25,0.8554508105601306,0.8554508105601304,2.220446049250313e-16,1.0,0.8405102375384607,0.7097670088372021,0.08047972289867852,1.6245486936611375
24,74,0.8605553930586318,0.860555393058632,2.220446049250313e-16,-1.0,0.6241486458840263,0.6969830857240865,0.045544816776769394,-1.5991817509563497
25,75,0.993707106604508,0.9937071066045076,4.440892098500626e-16,1.0,0.8769600496562441,0.8350783463661928,0.04783081999159287,0.875621686966954
26,75,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.7394982925833453,0.7394098469938605,0.0485051202442108,0.0018234278987360837
27,48,0.9798687566511528,0.9798687566511526,2.220446049250313e-16,1.0,0.837405540492007,0.8291642112057565,0.05554443608089132,0.148373624214105
28,75,0.9626147059982517,0.962614705998252,3.3306690738754696e-16,-1.0,0.6918115689399077,0.8055987386186639,0.045174107304412216,-2.5188581793544924
29,75,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.8180430963461721,0.8319305683237606,0.046985674772374995,-0.2955682140326207
31,25,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.8061327092104911,0.83310407059054,0.08094128308840808,-0.33322132230828994
32,75,0.8366407419411672,0.8366407419411672,0.0,0.0,0.6129126890670168,0.6714478951032092,0.04404329118204489,-1.3290379639034666
33,72,0.9860400318404434,0.9860400318404436,2.220446049250313e-16,-1.0,0.8944162843502735,0.8289402748484285,0.048070125259483835,1.3620935903204703
34,50,0.9953784388202257,0.9953784388202255,2.220446049250313e-16,1.0,0.9222288010610654,0.8442011422583299,0.05756017178318013,1.3555841893011218
36,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.732837650395739,0.8210787656382077,0.04764105613110641,-1.852207369199214
37,75,0.9844268978000114,0.9844268978000114,0.0,0.0,0.8871280509926857,0.8249488057950455,0.04757837064703632,1.3068805079291497
38,75,0.7950402793845223,0.7950402793845224,1.1102230246251565e-16,-1.0,0.6332486917399002,0.6312402843349701,0.04308700839197802,0.04661283017513815
39,75,0.8366407419411672,0.8366407419411672,0.0,0.0,0.6851509267523015,0.6713159114975464,0.04456678849064015,0.3104333007450305
40,75,0.8729882944709463,0.8729882944709465,2.220446049250313e-16,-1.0,0.6125586129569526,0.7078455250455142,0.04460449375774506,-2.1362626063212784
41,75,0.9782176659354247,0.9782176659354247,0.0,0.0,0.8453938173167262,0.8189344797904041,0.04681993975249746,0.5651296790682165
42,74,0.9867867202680318,0.9867867202680322,3.3306690738754696e-16,-1.0,0.18315859171212692,0.8282386926666272,0.04892036870202097,-13.186329499758067
43,25,0.6343095546405662,0.6343095546405663,1.1102230246251565e-16,-1.0,0.540576467917124,0.48527084024733685,0.08241532562951959,0.6710599909342313
44,75,0.5665095065529053,0.5665095065529053,0.0,0.0,0.40498307485915447,0.4072126866466697,0.03364817678705557,-0.06626248434277635
45,74,0.9915528503834039,0.9915528503834037,2.220446049250313e-16,1.0,0.8087437749569849,0.8334215522586655,0.0467895346841252,-0.5274208745241772
46,75,0.931055823385033,0.9310558233850331,1.1102230246251565e-16,-1.0,0.7188082138003976,0.7689624947030228,0.04862365060057775,-1.0314791317217398
47,75,0.10215803640865039,0.10215803640865033,5.551115123125783e-17,1.0,0.03050400400932517,0.04836918235745327,0.008095868404468333,-2.2067031546940434
48,74,0.6705250693158381,0.6705250693158381,0.0,0.0,0.4559381799704469,0.5065339015018138,0.037856795825845516,-1.3365030089742638
49,74,0.9994730201859836,0.999473020185984,4.440892098500626e-16,-1.0,0.8578300061900301,0.8425922683569224,0.04770414401815477,0.31942168016490874
