test,factor,chi2,p,dof,stat,k
chi2_dominance,gènere,0.06857486995851977,0.7934231809927252,1.0,,
chi2_dominance,edat,11.230468760328863,0.04699717251281995,5.0,,
chi2_dominance,estudis,4.710529428855207,0.31830856208159536,4.0,,
mi_ratio_continuous,gènere,,0.2950072307302034,,2494.0,2.0
mi_ratio_continuous,edat,,0.19912310283872028,,7.3021230845983585,6.0
mi_ratio_continuous,estudis,,0.2908580134317533,,4.965478309768694,5.0
