user,H_decision,H_change,p_up,p_change,p_up_mkt_up,p_down_mkt_down,p_repeat_success,p_change_fail,n_decisions,cluster
3,1.0,1.0,0.5,0.5,0.47368421052631576,0.4,0.46153846153846156,0.45454545454545453,24,0
5,1.0,0.964078764808229,0.5,0.6111111111111112,0.6666666666666666,0.6190476190476191,0.5238095238095238,0.8,72,0
6,0.997772472089982,0.954434002924965,0.5277777777777778,0.625,0.6842105263157895,0.6470588235294117,0.5348837209302326,0.8620689655172413,72,0
7,0.9910760598382222,0.997772472089982,0.5555555555555556,0.5277777777777778,0.625,0.53125,0.5555555555555556,0.6111111111111112,72,0
8,0.9582407282588408,0.9964196342978481,0.6197183098591549,0.4647887323943662,0.7954545454545454,0.6666666666666667,0.7272727272727273,0.7777777777777778,71,0
9,0.943601631299382,1.0,0.6388888888888888,0.5,0.9565217391304348,0.9230769230769231,1.0,0.9,72,0
10,0.8708644692353644,0.9949848281859701,0.7083333333333334,0.5416666666666666,0.7894736842105263,0.6,0.6666666666666667,0.8888888888888888,24,0
11,0.9883779727795041,0.9929768866085174,0.43661971830985913,0.5492957746478874,0.4,0.5365853658536586,0.43243243243243246,0.5294117647058824,71,0
12,0.5435644431995964,0.8112781244591328,0.875,0.25,0.8333333333333334,0.08333333333333337,0.7272727272727273,0.23076923076923078,24,1
13,0.9949848281859701,0.9182958340544896,0.5416666666666666,0.3333333333333333,0.75,0.71875,0.8085106382978724,0.6,72,0
14,0.997772472089982,0.9798687566511528,0.4722222222222222,0.4166666666666667,0.375,0.44999999999999996,0.5,0.3,72,0
15,0.9826154285526119,0.9964196342978481,0.5774647887323944,0.5352112676056338,0.7368421052631579,0.6060606060606061,0.625,0.7419354838709677,71,0
16,0.997772472089982,1.0,0.4722222222222222,0.5,0.5454545454545454,0.6428571428571428,0.59375,0.575,72,0
17,0.7382848661434506,0.8708644692353644,0.7916666666666666,0.2916666666666667,0.9285714285714286,0.4,0.8947368421052632,0.5,72,1
18,0.9798687566511528,0.9182958340544896,0.5833333333333334,0.3333333333333333,0.7692307692307693,0.6363636363636364,0.8461538461538461,0.5454545454545454,24,0
20,0.9798687566511528,1.0,0.4166666666666667,0.5,1.0,0.8235294117647058,0.8461538461538461,0.9090909090909091,24,0
22,0.9852281360342515,0.9994110647387552,0.5714285714285714,0.4857142857142857,0.7391304347826086,0.75,0.736842105263158,0.75,70,0
23,0.8708644692353644,1.0,0.7083333333333334,0.5,0.9285714285714286,0.6,0.8181818181818181,0.7692307692307693,24,0
24,0.8760643678555242,0.9359407149555171,0.704225352112676,0.352112676056338,0.7555555555555555,0.3846153846153846,0.7714285714285715,0.4722222222222222,71,1
25,0.9860400318404434,0.997772472089982,0.5694444444444444,0.5277777777777778,0.48484848484848486,0.3589743589743589,0.40476190476190477,0.43333333333333335,72,0
26,0.9037762882345832,0.9798687566511528,0.6805555555555556,0.4166666666666667,0.7631578947368421,0.4117647058823529,0.6756756756756757,0.5142857142857142,72,0
