feature,H,p,epsilon2
H_decision,103.36757600442596,3.5810968517242565e-23,0.36594792781381213
H_change,81.92149316248941,1.625450637380699e-18,0.288525246073969
p_up,109.34797912367834,1.800478872896942e-24,0.38753783077140197
p_change,101.23410236841386,1.0406243417793008e-22,0.3582458569256818
p_up_mkt_up,180.50179705780502,6.375772058066664e-40,0.6444108197032672
p_down_mkt_down,145.93740684247894,2.0421834509578027e-32,0.5196296275901766
p_repeat_success,161.82703210435477,7.239464905659853e-36,0.5769928956835912
p_change_fail,139.89551573000705,4.1886564149144095e-31,0.49781774631771497
