user,n_decisions,H_real,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
3,25,0.9988455359952018,0.8417073520058203,0.8620485994575734,0.07625426087524576,-0.26675555199508166,0.31885362292754144
5,75,0.9988455359952018,0.8804674088050792,0.8416956034368297,0.04735243093116927,0.8187922901911331,0.7898042039159217
6,75,0.9967916319816366,0.8972960523291275,0.8393092412789798,0.04737511668375469,1.2239929969403502,0.9064618707625848
7,75,0.9895875212220556,0.8629306130609029,0.8321031882633352,0.04718924014591502,0.6532723286546993,0.7231855362892742
8,74,0.9466474387740497,0.7674907409634214,0.7865542436645095,0.04688079845219013,-0.4066377564053104,0.31593368132637345
9,75,0.9626147059982517,0.8317184568314493,0.8030644715829569,0.0470720630953025,0.6087259271062602,0.7031659366812664
10,25,0.9043814577244937,0.6911419099614722,0.7619229723326041,0.08095966438569564,-0.874275639705318,0.1873362532749345
11,74,0.9915528503834039,0.8969621132648928,0.8339112898717818,0.04764026666299733,1.323477549761141,0.9348413031739365
12,25,0.5293608652873644,0.5156629249195446,0.3866984947238058,0.07172269563963293,1.798097924870449,1.0
13,75,0.9895875212220556,0.6641067718592895,0.8314776893009833,0.04736303032885712,-3.5337881947076113,0.0026199476010479793
14,75,0.9988455359952018,0.7566810122174578,0.8412646760606213,0.04743727498537194,-1.7830632950405831,0.05389892202155957
15,74,0.9809470132751208,0.8788156575270202,0.8228271024930448,0.047376558089173404,1.1817775982922238,0.8954420911581769
16,75,0.9988455359952018,0.7984152458934173,0.8415058296514029,0.04742578630897839,-0.9085897591080722,0.18035639287214256
17,75,0.7478061583312325,0.5108785995925356,0.582356684017607,0.041321522309318875,-1.7298027863061474,0.052938941221175574
18,25,0.9895875212220556,0.8417073520058203,0.8522174400075834,0.07703401954675308,-0.13643437099091513,0.36561268774624506
20,25,0.9709505944546686,0.8879430945988996,0.8331716542902464,0.07847446763617326,0.6979523653806351,0.7219855602887942
22,73,0.9770012394218561,0.8702623251203204,0.8186529378362555,0.047716321699572545,1.081587713508254,0.8636627267454651
23,25,0.8554508105601306,0.8405102375384607,0.7105592599844008,0.0825950287990068,1.5733510774636652,0.9721805563888722
24,74,0.8605553930586318,0.6241486458840263,0.6967875139598338,0.045164063826479944,-1.608333305764637,0.0632387352252955
25,75,0.993707106604508,0.8769600496562441,0.8361322474107921,0.047244219016937726,0.8641862029895058,0.8073038539229216
26,75,0.9043814577244937,0.7394982925833453,0.7421172466358688,0.04609399708534559,-0.056817681653302886,0.44595108097838043
27,48,0.9798687566511528,0.837405540492007,0.8272069109519649,0.05846562354526119,0.17443805302353207,0.5288494230115398
28,75,0.9626147059982517,0.6918115689399077,0.8032012925286118,0.04688324581786943,-2.375896157476542,0.01885962280754385
29,75,0.9895875212220556,0.8180430963461721,0.8319061714136903,0.04730053844165279,-0.2930849314668764,0.34321313573728524
31,25,0.9709505944546686,0.8061327092104911,0.8327056088493555,0.07818189202924158,-0.3398856045710131,0.30413391732165357
32,75,0.8366407419411672,0.6129126890670168,0.6718919086078836,0.044290726805482676,-1.331638105644405,0.09689806203875923
33,72,0.9860400318404434,0.8944162843502735,0.8280374951857317,0.048286761449667676,1.374678838913905,0.9421811563768725
34,50,0.9953784388202257,0.9222288010610654,0.8426687029559559,0.057071944050668344,1.3940316810388704,0.9589008219835603
