id,scenario,series,completed,correct_answers,errors,end_date
965,1C,23,1,13,12,2013-12-15 16:03:20
966,2C,12,1,13,12,2013-12-15 16:05:57
967,3C,28,1,11,14,2013-12-15 16:10:19
968,4C,10,1,12,13,2013-12-15 16:14:36
969,1I,4,0,-1,-1,NULL
970,2I,14,0,-1,-1,NULL
971,3I,5,0,-1,-1,NULL
972,4J,28,0,-1,-1,NULL
973,1I,4,1,13,10,2013-12-15 16:04:26
974,2I,17,1,16,9,2013-12-15 16:00:59
975,3I,24,1,15,9,2013-12-15 15:59:36
976,4I,20,1,14,11,2013-12-15 15:57:11
977,1I,13,0,-1,-1,NULL
978,2I,19,1,15,10,2013-12-15 16:02:46
979,3I,25,1,11,14,2013-12-15 16:01:25
980,4J,24,0,-1,-1,NULL
981,1I,21,1,11,14,2013-12-15 16:03:20
982,2I,28,1,12,13,2013-12-15 16:01:37
983,3C,22,0,-1,-1,NULL
984,4I,19,0,-1,-1,NULL
985,1C,5,1,15,10,2013-12-15 16:16:41
986,2C,7,1,13,12,2013-12-15 16:10:06
987,3I,8,1,19,6,2013-12-15 16:12:41
988,4C,6,1,13,12,2013-12-15 16:08:26
989,1I,7,1,14,11,2013-12-15 16:07:41
990,2I,16,1,18,7,2013-12-15 16:05:53
991,3C,10,1,14,11,2013-12-15 16:03:49
992,4J,23,1,13,12,2013-12-15 16:01:15
993,1C,7,1,14,11,2013-12-15 16:02:34
994,2C,21,1,14,11,2013-12-15 16:07:29
995,3C,10,1,12,13,2013-12-15 16:06:21
996,4C,3,1,15,9,2013-12-15 16:05:09
997,1C,13,1,11,14,2013-12-15 16:25:35
998,2C,15,1,14,11,2013-12-15 16:17:00
999,3I,22,1,18,7,2013-12-15 16:14:03
1000,4C,5,1,16,9,2013-12-15 16:20:17
1001,1I,8,0,-1,-1,NULL
1002,2I,14,0,-1,-1,NULL
1003,3I,7,1,10,15,2013-12-15 16:17:07
1004,4C,9,0,-1,-1,NULL
1005,1I,12,1,14,11,2013-12-15 16:14:56
1006,2I,13,1,9,16,2013-12-15 16:16:33
1007,3C,1,1,18,7,2013-12-15 16:17:43
1008,4C,8,1,12,13,2013-12-15 16:19:27
1009,1C,6,0,-1,-1,NULL
1010,2C,14,0,-1,-1,NULL
1011,3C,18,0,-1,-1,NULL
1012,4C,10,0,-1,-1,NULL
1013,1C,22,1,11,14,2013-12-15 16:21:02
1014,2C,2,1,13,12,2013-12-15 16:22:43
1015,3C,17,1,13,12,2013-12-15 16:17:27
1016,4I,13,1,15,10,2013-12-15 16:19:30
1017,1I,21,1,15,10,2013-12-15 16:17:58
1018,2I,3,1,11,14,2013-12-15 16:16:21
1019,3I,7,1,13,12,2013-12-15 16:20:12
1020,4I,12,1,13,12,2013-12-15 16:21:38
1021,1I,7,1,13,12,2013-12-15 16:16:48
1022,2I,16,1,8,17,2013-12-15 16:17:58
1023,3C,28,0,-1,-1,NULL
1024,4C,8,0,-1,-1,NULL
1025,1C,27,1,17,8,2013-12-15 16:23:59
1026,2C,30,1,17,8,2013-12-15 16:26:57
1027,3C,7,1,14,11,2013-12-15 16:31:08
1028,4C,5,1,14,11,2013-12-15 16:34:26
1029,1I,13,1,13,10,2013-12-15 16:26:17
1030,2I,14,1,15,10,2013-12-15 16:30:17
1031,3C,3,1,10,15,2013-12-15 16:33:26
1032,4I,19,1,14,11,2013-12-15 16:37:39
1033,1C,7,1,16,9,2013-12-15 16:35:44
1034,2C,2,1,14,11,2013-12-15 16:37:27
1035,3I,1,1,12,13,2013-12-15 16:39:16
1036,4I,18,1,13,12,2013-12-15 16:42:03
1037,1I,28,1,13,12,2013-12-15 16:42:13
1038,2I,15,1,13,12,2013-12-15 16:49:01
1039,3I,27,1,18,7,2013-12-15 16:56:13
1040,4I,20,1,9,16,2013-12-15 17:03:30
1041,1C,11,1,19,5,2013-12-15 16:44:44
1042,2C,7,1,13,12,2013-12-15 16:48:01
1043,3C,1,1,13,12,2013-12-15 16:51:00
