phenotype,n,I_MINE_T,I_MINE_S,I_MINE_S-T,I_MINE_TS
Trustful,1178,0.01289851393336097,0.009399112853325177,0.01830710989906338,0.021043897527573418
Optimist,1516,0.05212338221644292,0.0012616001257463342,0.023570707291823357,0.06841095273108948
Pessimist,1539,0.004343852556591485,0.025737155546477073,0.03707215026335988,0.07472612299406817
Envious,2124,0.00975091411458073,0.005876256779364712,0.02241909555325079,0.025985340270284173
Undefined,911,0.004682064393710802,0.000501525898968999,0.005891781115812316,0.015648249087635187
