User_ID,phenotype_kmeans,phi_star,n,match_rate_real,match_rate_shuffled,match_rate_delta,H_Dphi_real,H_Dphi_shuffled,H_Dphi_delta,I_Dphi;g_real,I_Dphi;g_shuffled,I_Dphi;g_delta,I_Dphi;TS_quad_real,I_Dphi;TS_quad_shuffled,I_Dphi;TS_quad_delta
2,Envious,Envious,14,1.0,0.6285714285714287,0.37142857142857133,0.0,0.9275149955658534,-0.9275149955658534,0.0,0.2898560187152108,-0.2898560187152108,0.0,0.12726716078540568,-0.12726716078540568
3,Trustful,Trustful,14,0.9285714285714286,0.928571428571429,-4.440892098500626e-16,0.4227571495297672,0.42275714952976695,2.220446049250313e-16,0.11340086418110334,0.20686402200420334,-0.0934631578231,0.11340086418110334,0.1536418760420236,-0.040241011860920245
4,Pessimist,Pessimist,14,0.7142857142857143,0.5214285714285715,0.19285714285714284,0.9146453914555226,1.0062260670562382,-0.09158067560071559,0.16973788661096179,0.14358401730843742,0.026153869302524363,0.08080127962263817,0.08780531215991473,-0.007004032537276564
6,Undefined,Envious,14,0.8571428571428571,0.6642857142857141,0.19285714285714295,0.6431976014712191,0.9573830400691895,-0.31418543859797043,0.1394593503765208,0.16461949853946864,-0.025160148162947843,0.1394593503765208,0.10041385536283103,0.03904549501368977
7,Envious,Envious,14,1.0,0.8714285714285712,0.12857142857142878,0.0,0.5788778413240973,-0.5788778413240973,0.0,0.2355540891490703,-0.2355540891490703,0.0,0.14816907098788606,-0.14816907098788606
8,Optimist,Optimist,14,0.7142857142857143,0.4928571428571429,0.22142857142857142,0.9146453914555226,1.0245422021763813,-0.10989681072085866,0.08080127962263817,0.1772707328707168,-0.09646945324807862,0.01974749588882796,0.0015028162251293697,0.01824467966369859
9,Envious,Envious,14,0.8571428571428571,0.6357142857142858,0.2214285714285713,0.6431976014712191,0.9743375424368799,-0.3311399409656608,0.07656045600250294,0.13718360087618883,-0.06062314487368589,0.07656045600250294,0.13718360087618883,-0.06062314487368589
10,Optimist,Optimist,14,0.7142857142857143,0.48571428571428577,0.22857142857142854,0.9146453914555226,1.0184368238030002,-0.10379143234747756,0.2425628872290957,0.10564089847609696,0.1369219887529987,-0.12071393398838737,-0.05953327788460554,-0.06118065610378183
11,Undefined,Envious,14,0.7142857142857143,0.5142857142857142,0.20000000000000007,0.9146453914555226,1.0184368238030002,-0.10379143234747756,0.4109071403608243,0.2818727332008383,0.12903440715998604,0.1394593503765208,0.1382575092185044,0.0012018411580163868
19,Optimist,Optimist,14,0.7857142857142857,0.4857142857142859,0.2999999999999998,0.8011200801483715,0.989501066074914,-0.1883809859265424,0.12903757592194465,0.46200038435259433,-0.3329628084306497,0.09347090246272027,0.028010252923879018,0.06546064953884126
