User_ID,n_decisions,match_Trustful,H_mismatch_Trustful,match_Optimist,H_mismatch_Optimist,match_Pessimist,H_mismatch_Pessimist,match_Envious,H_mismatch_Envious,phenotype_entropy,Age,Gender
88,18,0.3888888888888889,0.964078764808229,0.6666666666666666,0.9182958340544896,0.5555555555555556,0.9910760598382222,0.6111111111111112,0.964078764808229,Optimist,10,h
89,18,0.9444444444444444,0.3095434291503253,0.5555555555555556,0.9910760598382222,0.4444444444444444,0.9910760598382222,0.2777777777777778,0.8524051786494786,Trustful,49,h
90,18,1.0,0.0,0.3333333333333333,0.9182958340544896,0.4444444444444444,0.9910760598382222,0.05555555555555555,0.3095434291503253,Trustful,10,h
91,18,0.16666666666666666,0.6500224216483541,0.8888888888888888,0.5032583347756459,0.6111111111111112,0.964078764808229,0.9444444444444444,0.3095434291503253,Envious,10,h
92,18,0.3888888888888889,0.964078764808229,0.8333333333333334,0.6500224216483541,0.5,1.0,0.7222222222222222,0.8524051786494786,Optimist,10,h
93,18,0.2222222222222222,0.7642045065086203,0.6666666666666666,0.9182958340544896,0.6666666666666666,0.9182958340544896,0.9444444444444444,0.3095434291503253,Envious,50,d
95,18,0.6111111111111112,0.964078764808229,0.6666666666666666,0.9182958340544896,0.5,1.0,0.5555555555555556,0.9910760598382222,Optimist,33,d
96,18,0.4444444444444444,0.9910760598382222,0.7222222222222222,0.8524051786494786,0.5555555555555556,0.9910760598382222,0.6666666666666666,0.9182958340544896,Optimist,32,h
97,18,0.5555555555555556,0.9910760598382222,0.6666666666666666,0.9182958340544896,0.6111111111111112,0.964078764808229,0.6666666666666666,0.9182958340544896,Optimist,36,h
98,18,0.2222222222222222,0.7642045065086203,0.6666666666666666,0.9182958340544896,0.6111111111111112,0.964078764808229,0.8333333333333334,0.6500224216483541,Envious,32,d
99,18,0.4444444444444444,0.9910760598382222,0.6111111111111112,0.964078764808229,0.6111111111111112,0.964078764808229,0.3888888888888889,0.964078764808229,Undefined,34,h
100,18,0.16666666666666666,0.6500224216483541,0.7222222222222222,0.8524051786494786,0.7222222222222222,0.8524051786494786,1.0,0.0,Envious,35,h
101,18,0.5,1.0,0.5555555555555556,0.9910760598382222,0.6666666666666666,0.9182958340544896,0.6111111111111112,0.964078764808229,Pessimist,19,h
102,18,0.4444444444444444,0.9910760598382222,0.6111111111111112,0.964078764808229,0.5555555555555556,0.9910760598382222,0.6666666666666666,0.9182958340544896,Envious,19,h
103,18,0.2222222222222222,0.7642045065086203,0.7777777777777778,0.7642045065086203,0.7222222222222222,0.8524051786494786,0.9444444444444444,0.3095434291503253,Envious,44,d
104,17,0.29411764705882354,0.873981048127358,0.7058823529411765,0.8739810481273578,0.8235294117647058,0.672294817075638,0.9411764705882353,0.3227569588973983,Envious,40,d
105,17,0.4117647058823529,0.9774178175281716,0.7058823529411765,0.8739810481273578,0.7058823529411765,0.8739810481273578,0.8235294117647058,0.672294817075638,Envious,41,h
106,17,0.4117647058823529,0.9774178175281716,0.5882352941176471,0.9774178175281716,0.7647058823529411,0.7871265862012691,0.7058823529411765,0.8739810481273578,Pessimist,32,h
107,17,0.29411764705882354,0.873981048127358,0.4117647058823529,0.9774178175281716,0.47058823529411764,0.9975025463691152,0.6470588235294118,0.9366673818775626,Undefined,64,h
108,17,0.6470588235294118,0.9366673818775626,0.6470588235294118,0.9366673818775626,0.5294117647058824,0.9975025463691152,0.4117647058823529,0.9774178175281716,Undefined,30,d
109,17,0.5294117647058824,0.9975025463691152,0.47058823529411764,0.9975025463691152,0.6470588235294118,0.9366673818775626,0.5882352941176471,0.9774178175281716,Undefined,57,d
110,17,0.5882352941176471,0.9774178175281716,0.6470588235294118,0.9366673818775626,0.7647058823529411,0.7871265862012691,0.8235294117647058,0.672294817075638,Envious,46,d
111,17,0.47058823529411764,0.9975025463691152,0.6470588235294118,0.9366673818775626,0.6470588235294118,0.9366673818775626,0.5294117647058824,0.9975025463691152,Undefined,42,h
112,17,0.5294117647058824,0.9975025463691152,0.6470588235294118,0.9366673818775626,0.5294117647058824,0.9975025463691152,0.5882352941176471,0.9774178175281716,Undefined,10,d
113,17,0.5294117647058824,0.9975025463691152,0.6470588235294118,0.9366673818775626,0.7647058823529411,0.7871265862012691,0.8235294117647058,0.672294817075638,Envious,11,h
114,17,0.6470588235294118,0.9366673818775626,0.35294117647058826,0.9366673818775626,0.4117647058823529,0.9774178175281716,0.4117647058823529,0.9774178175281716,Undefined,10,h
115,17,0.47058823529411764,0.9975025463691152,0.7647058823529411,0.7871265862012691,0.8235294117647058,0.672294817075638,0.8823529411764706,0.5225593745369408,Envious,36,h
