User_ID,shuffled_accuracy
2,0.8571428571428571
3,0.9285714285714286
4,0.6428571428571429
5,0.6428571428571429
6,0.5714285714285714
7,0.8571428571428571
8,0.5714285714285714
9,0.7142857142857143
10,0.6428571428571429
11,0.6428571428571429
18,0.6428571428571429
19,0.5714285714285714
20,0.6428571428571429
22,0.8571428571428571
23,0.8571428571428571
24,0.6428571428571429
25,0.6428571428571429
26,0.8571428571428571
27,0.6923076923076923
28,0.9285714285714286
29,0.6428571428571429
30,0.6428571428571429
31,0.6428571428571429
32,0.8235294117647058
33,0.5882352941176471
34,0.5294117647058824
35,0.5882352941176471
37,0.5882352941176471
38,0.7647058823529411
40,0.7647058823529411
41,0.47058823529411764
42,0.8823529411764706
43,0.5882352941176471
45,0.7058823529411765
47,0.625
48,0.75
49,0.6875
51,0.75
52,0.625
53,0.5625
54,0.625
55,0.5625
56,0.625
57,0.5625
58,0.5625
59,0.5625
60,0.75
61,0.625
62,0.7142857142857143
63,0.5714285714285714
64,0.5714285714285714
65,0.6428571428571429
66,0.5833333333333334
67,0.9285714285714286
68,0.7857142857142857
69,0.7857142857142857
70,0.8571428571428571
71,0.7333333333333333
72,0.7333333333333333
73,0.8
74,0.6666666666666666
75,0.5333333333333333
76,0.6
77,0.8666666666666667
78,0.3333333333333333
79,0.8666666666666667
80,0.6
81,0.6666666666666666
82,0.6
83,0.8666666666666667
84,0.4
85,0.6666666666666666
86,0.6666666666666666
87,0.7222222222222222
88,0.6666666666666666
89,0.9444444444444444
90,1.0
91,0.7222222222222222
92,0.6111111111111112
93,0.8333333333333334
95,0.6111111111111112
96,0.7777777777777778
97,0.5555555555555556
98,0.7222222222222222
99,0.6111111111111112
100,0.6666666666666666
101,0.6666666666666666
102,0.6111111111111112
103,0.8333333333333334
104,0.5882352941176471
105,0.5882352941176471
106,0.47058823529411764
107,0.5294117647058824
108,0.6470588235294118
109,0.5294117647058824
110,0.7647058823529411
111,0.6470588235294118
112,0.5882352941176471
113,0.7647058823529411
114,0.6470588235294118
115,0.47058823529411764
116,0.5882352941176471
117,0.7058823529411765
118,0.5882352941176471
119,0.7647058823529411
120,0.7647058823529411
121,0.5294117647058824
122,0.6470588235294118
123,0.6470588235294118
124,0.5882352941176471
125,0.6470588235294118
126,0.8235294117647058
127,0.6470588235294118
128,0.6470588235294118
129,0.6923076923076923
130,0.6153846153846154
131,0.7692307692307693
132,0.6923076923076923
133,0.7692307692307693
134,0.6923076923076923
135,0.9375
136,0.625
137,0.75
138,0.6875
139,0.75
140,0.6875
141,0.8823529411764706
142,0.7058823529411765
143,0.7647058823529411
144,0.5882352941176471
