w_R,w_Trustful,w_Optimist,w_Pessimist,w_Envious,log_lik,cross_ent,accuracy,n,User_ID,phenotype_composition
2.0733414984874215e-14,2.8937963136853887e-13,0.0,2.903233209394702e-14,0.9999999999996609,-1.3999999611052966e-08,1.4426950008081094e-09,1.0,14,2,Envious
1.4059531279264127e-09,0.899979253291116,1.3882313129344135e-14,0.10002074530291691,0.0,-3.2508297618225206,0.33499685543968577,0.9285714285714286,14,3,Trustful
2.271605308654051e-09,0.4281107000282391,1.4110456470409483e-16,0.2385649890379759,0.33332430866217944,-6.689902277113969,0.6893920599445791,0.7142857142857143,14,4,Trustful
4.0565807308186686e-18,0.2857146150884412,0.7142853849115584,3.8347653183705067e-16,0.0,-4.187887127098662,0.4315602850048548,0.8571428571428571,14,5,Optimist
0.0,0.16666694966499176,3.084284295234693e-16,1.8722344128475113e-14,0.8333330503349892,-5.406734508399229,0.5571620759050567,0.8571428571428571,14,6,Envious
0.0,0.0,0.0,4.0384362520738435e-14,0.9999999999999596,-1.3999999611052966e-08,1.4426950008081094e-09,1.0,14,7,Envious
2.303217973346464e-09,0.34700531967099385,0.4495931936817378,0.07906761616774496,0.12433386817630551,-7.766597178262651,0.800345088118696,0.7142857142857143,14,8,Optimist
1.7860427109753757e-15,0.0,3.779742462967117e-15,0.3333344891986014,0.666665510801393,-3.819085017786908,0.39355535827817933,0.8571428571428571,14,9,Envious
7.897545395669622e-10,0.29423390693356305,0.04873521727619811,3.8693083271031446e-17,0.6570308750004842,-6.099280888802662,0.6285287350903164,0.7857142857142857,14,10,Envious
8.3478111775423e-10,0.3636364050249751,1.5021310599434975e-15,2.495165959520216e-15,0.6363635941402398,-7.210299515915372,0.7430188110668,0.7142857142857143,14,11,Envious
1.7194700665924113e-17,9.42517566898474e-16,0.22222086242829703,0.0,0.777779137571702,-4.767355796567019,0.4912743261328923,0.8571428571428571,14,18,Envious
6.567136683086622e-16,0.3033917551096864,0.6966082443706126,5.197001668442239e-10,3.202105889603843e-16,-6.108915762561745,0.6295216054183036,0.7857142857142857,14,19,Optimist
6.276385135991686e-17,0.4047314163361555,0.34061928663257696,0.2546492947091531,2.322114248327447e-09,-7.524758482208575,0.7754236961549624,0.7142857142857143,14,20,Trustful
2.225658918248992e-10,0.15384615018609443,8.146287190530225e-19,4.380865737210707e-19,0.8461538495913397,-5.581199286098011,0.5751406094476159,0.8571428571428571,14,22,Envious
2.228705713585977e-18,0.40000006166163404,0.599999938338366,0.0,0.0,-6.730116674092644,0.6935361393083986,0.7142857142857143,14,23,Optimist
1.8889484613391998e-08,0.15240081633282015,0.09759046476825255,0.5427877965283519,0.20722090348109085,-6.95464253783083,0.7166734500345696,0.7857142857142857,14,24,Pessimist
0.0,0.21659136619763508,0.7696466889953657,0.0137619448069993,0.0,-4.7658851125364725,0.4911227726644935,0.8571428571428571,14,25,Optimist
2.736699755701011e-14,3.7136960173711486e-13,2.4702462297909733e-14,4.3520742565306136e-14,0.999999999999533,-1.3999999611052966e-08,1.4426950008081094e-09,1.0,14,26,Envious
1.0479792568273373e-09,0.14285801672390655,0.6071493629047157,4.2189078699590385e-15,0.24999261932339423,-5.120154809096973,0.5682170732052292,0.8461538461538461,13,27,Optimist
7.239090248208275e-10,0.8999999706752584,0.10000002860082731,0.0,5.2559289490977305e-15,-3.2508297379145294,0.3349968529759757,0.9285714285714286,14,28,Trustful
9.787057318326114e-10,0.4970758594804171,0.2467435211875883,4.0991524006192453e-16,0.2561806183532883,-7.795057921914595,0.8032779576706011,0.6428571428571429,14,29,Trustful
7.279556754534666e-10,0.08333547905607454,4.9562555466678644e-14,4.5770587172778226e-14,0.9166645202158744,-3.4420317990362523,0.35470015764655133,0.9285714285714286,14,30,Envious
