User_ID,Experiment_number,Round_number,S,T,Game,Action,Opponent_ID,Opponent_Action
38,3,11,2,15,Prisoner's Dilemma,D,469,D
38,3,12,6,9,Harmony,D,Dummy,C
38,3,13,6,14,Snow Drift,D,Dummy,D
38,3,14,5,14,border Snow Drift/Prisoner's Dilemma,D,517,D
38,3,15,3,6,Stag-Hunt,D,527,C
38,3,16,5,6,border Harmony/Stag-Hunt,C,537,C
38,3,17,1,9,Stag-Hunt,D,553,C
40,3,1,5,15,border Snow Drift/Prisoner's Dilemma,C,325,C
40,3,2,4,12,Prisoner's Dilemma,C,339,C
40,3,3,0,5,Stag-Hunt,D,356,C
40,3,4,3,13,Prisoner's Dilemma,D,376,D
40,3,5,1,8,Stag-Hunt,D,Dummy,D
40,3,6,5,12,border Snow Drift/Prisoner's Dilemma,D,401,D
40,3,7,1,6,Stag-Hunt,D,411,D
40,3,8,10,14,Snow Drift,C,425,C
40,3,9,0,10,border Stag-Hunt/Prisoner's Dilemma,D,435,D
40,3,10,9,13,Snow Drift,C,456,C
40,3,11,2,15,Prisoner's Dilemma,D,470,D
40,3,12,4,6,Stag-Hunt,C,478,C
40,3,13,4,6,Stag-Hunt,D,493,C
40,3,14,5,14,border Snow Drift/Prisoner's Dilemma,D,518,D
40,3,15,10,6,Harmony,C,522,C
40,3,16,6,12,Snow Drift,D,542,D
40,3,17,7,13,Snow Drift,D,558,C
41,3,1,5,15,border Snow Drift/Prisoner's Dilemma,C,326,C
41,3,2,5,6,border Harmony/Stag-Hunt,D,343,C
41,3,3,8,6,Harmony,C,364,C
41,3,4,3,13,Prisoner's Dilemma,D,375,D
41,3,5,7,6,Harmony,C,392,C
41,3,6,2,7,Stag-Hunt,C,403,D
41,3,7,0,12,Prisoner's Dilemma,D,415,D
41,3,8,4,9,Stag-Hunt,D,427,D
41,3,9,7,14,Snow Drift,D,441,D
41,3,10,9,5,Harmony,D,450,C
41,3,11,0,15,Prisoner's Dilemma,D,472,D
41,3,12,10,9,Harmony,C,489,C
41,3,13,0,5,Stag-Hunt,D,Dummy,D
41,3,14,7,6,Harmony,C,515,C
41,3,15,4,13,Prisoner's Dilemma,D,525,D
41,3,16,0,6,Stag-Hunt,C,Dummy,C
41,3,17,9,12,Snow Drift,C,559,C
42,3,1,7,11,Snow Drift,C,Dummy,D
42,3,2,4,12,Prisoner's Dilemma,C,340,C
42,3,3,9,12,Snow Drift,C,362,D
42,3,4,7,6,Harmony,D,378,C
42,3,5,1,8,Stag-Hunt,D,386,D
42,3,6,1,12,Prisoner's Dilemma,D,394,D
42,3,7,8,5,Harmony,C,Dummy,D
42,3,8,4,9,Stag-Hunt,D,428,D
42,3,9,2,14,Prisoner's Dilemma,D,448,D
42,3,10,9,5,Harmony,C,449,D
42,3,11,0,15,Prisoner's Dilemma,D,471,D
42,3,12,10,9,Harmony,C,490,C
42,3,13,3,5,Stag-Hunt,D,500,C
42,3,14,7,6,Harmony,C,516,C
42,3,15,8,15,Snow Drift,D,519,D
42,3,16,6,12,Snow Drift,D,541,D
42,3,17,6,8,Harmony,D,548,C
43,3,1,7,14,Snow Drift,D,334,C
43,3,2,8,7,Harmony,D,345,C
43,3,3,7,8,Harmony,D,360,C
43,3,4,7,6,Harmony,C,377,D
43,3,5,0,13,Prisoner's Dilemma,D,382,D
43,3,6,9,14,Snow Drift,D,405,C
43,3,7,2,8,Stag-Hunt,D,408,C
43,3,8,8,8,Harmony,C,Dummy,C
43,3,9,7,14,Snow Drift,D,442,D
43,3,10,9,11,Snow Drift,D,Dummy,D
43,3,11,0,12,Prisoner's Dilemma,D,475,D
43,3,12,4,12,Prisoner's Dilemma,D,Dummy,C
43,3,13,9,7,Harmony,C,491,C
43,3,14,0,5,Stag-Hunt,C,510,D
43,3,15,10,6,Harmony,C,521,C
43,3,16,5,15,border Snow Drift/Prisoner's Dilemma,D,544,D
43,3,17,7,7,Harmony,C,Dummy,D
45,3,1,7,14,Snow Drift,C,333,D
45,3,2,5,6,border Harmony/Stag-Hunt,C,Dummy,D
45,3,3,3,13,Prisoner's Dilemma,C,354,D
45,3,4,1,10,border Stag-Hunt/Prisoner's Dilemma,D,374,C
45,3,5,1,12,Prisoner's Dilemma,D,380,D
45,3,6,2,7,Stag-Hunt,D,404,C
45,3,7,0,7,Stag-Hunt,C,418,D
45,3,8,7,5,Harmony,C,422,C
45,3,9,4,8,Stag-Hunt,C,Dummy,C
45,3,10,2,15,Prisoner's Dilemma,C,452,D
45,3,11,5,13,border Snow Drift/Prisoner's Dilemma,D,473,D
45,3,12,8,15,Snow Drift,C,Dummy,C
45,3,13,3,5,Stag-Hunt,C,499,D
