phenotype,n,I_MINE_T,I_MINE_S,I_MINE_S-T,I_MINE_TS,plug_T,plug_S,plug_S-T,plug_TS
Trustful,1178,0.01289851393336097,0.009399112853325177,0.01830710989906338,0.021043897527573418,0.36231898885404723,0.3418328957044288,0.41561743084579905,0.10555245167523739
Optimist,1516,0.05212338221644292,0.0012616001257463342,0.023570707291823357,0.06841095273108948,0.5823387559100358,0.37787515476542866,0.6412256562772881,0.2852329689177445
Pessimist,1539,0.004343852556591485,0.025737155546477073,0.03707215026335988,0.07472612299406817,0.41136168540219725,0.544014549897739,0.6198047750909704,0.2762748030900342
Envious,2124,0.00975091411458073,0.005876256779364712,0.02241909555325079,0.025985340270284173,0.44434156852261325,0.44319506525790686,0.6536922602171437,0.34551797434594733
Undefined,911,0.004682064393710802,0.000501525898968999,0.005891781115812316,0.015648249087635187,0.3872518696413623,0.40164536028520564,0.6020507245312762,0.09807410979279657
