User_ID,Age,Gender,Experiment_number,Earnings
349,10,h,28,102
350,13,d,28,95
351,15,h,28,101
352,58,h,28,96
353,44,h,28,98
354,56,d,28,95
355,38,h,28,91
356,46,d,28,94
357,55,d,28,88
358,59,d,28,84
359,60,h,28,98
360,17,d,29,94
361,10,d,29,61
362,47,h,29,70
363,10,h,29,80
365,46,d,29,77
366,10,d,29,95
367,33,h,29,77
368,44,h,29,87
369,40,d,29,90
370,35,h,29,84
371,37,h,29,83
372,55,h,29,86
373,12,h,29,84
374,29,d,29,71
375,37,d,29,85
376,31,h,29,102
377,10,d,29,81
378,42,d,29,85
379,51,d,30,110
380,11,h,30,94
381,45,h,30,79
382,30,h,30,111
383,42,d,30,105
384,37,h,30,104
385,35,h,30,115
387,33,h,30,102
388,29,h,30,92
389,41,h,30,79
390,36,h,30,124
391,40,h,30,113
392,35,h,30,98
393,15,h,30,126
394,51,d,30,126
395,37,h,30,104
396,34,h,31,118
397,10,h,31,88
398,34,d,31,98
399,33,d,31,101
400,38,d,31,109
401,34,h,31,92
402,37,d,31,91
403,40,h,31,107
404,43,d,31,88
405,47,d,31,104
406,44,h,31,75
407,46,d,31,111
408,47,d,31,81
409,23,d,31,49
410,34,h,31,82
411,13,h,31,107
412,28,d,32,81
413,43,h,32,113
414,10,h,32,91
415,36,h,32,98
416,41,d,32,84
417,56,h,32,87
418,12,d,32,98
419,12,d,32,119
420,10,d,32,76
421,40,d,32,111
422,36,d,32,100
423,33,d,32,119
424,10,h,32,102
425,45,d,32,94
426,36,d,33,100
427,45,h,33,96
428,34,h,33,80
429,31,d,33,118
431,11,h,33,103
432,17,d,33,99
434,36,h,34,108
435,36,h,34,127
436,30,h,34,89
437,31,d,34,111
438,44,h,34,116
439,48,h,35,103
440,15,h,35,108
441,46,d,35,98
442,43,h,35,113
443,10,h,35,102
444,10,d,35,97
445,13,h,35,98
446,36,h,35,113
447,40,h,35,116
448,32,h,35,116
449,32,d,35,91
450,40,h,35,105
452,27,h,36,83
453,26,d,36,121
454,29,d,36,102
455,27,h,36,107
456,20,h,36,97
457,23,h,36,107
458,23,h,36,98
459,19,h,36,97
460,25,h,36,107
461,13,d,36,93
462,55,d,36,98
463,33,d,36,111
464,40,d,36,97
465,11,d,36,103
466,57,h,36,82
467,17,d,37,92
468,23,h,37,98
469,25,d,37,81
470,17,d,37,88
471,23,h,37,82
472,32,h,37,91
473,17,d,37,109
474,27,d,37,92
475,29,h,37,102
476,33,d,37,90
477,24,h,37,112
478,29,h,37,87
479,12,d,38,98
480,43,d,38,96
481,12,d,38,100
482,47,d,38,100
483,10,h,38,94
484,27,h,38,101
485,28,h,38,76
486,45,h,38,85
487,53,h,38,85
488,26,h,38,112
489,42,d,38,102
490,43,h,38,106
491,12,h,38,95
492,42,h,38,97
493,10,d,38,111
494,10,h,38,86
495,29,h,39,102
496,38,d,39,89
497,37,h,39,120
498,36,h,39,109
499,38,h,39,113
500,32,h,39,109
501,32,d,39,93
502,38,h,39,95
503,35,d,39,100
504,39,h,39,108
505,47,h,40,90
506,49,h,40,89
507,18,d,40,89
508,18,d,40,99
509,12,d,40,95
510,13,d,40,90
511,49,d,40,82
512,43,h,40,107
513,46,h,40,113
514,45,h,40,85
515,10,h,40,85
516,48,h,40,96
517,12,h,40,88
518,10,h,40,84
519,11,h,40,103
520,45,d,40,88
521,38,h,40,89
522,37,d,40,100
523,36,h,41,103
524,43,h,41,82
525,44,h,41,94
526,24,d,41,104
527,45,h,41,78
528,25,h,41,73
529,40,h,41,80
530,34,h,41,98
531,22,h,41,83
532,44,h,41,97
533,36,d,41,87
534,21,d,41,118
535,40,h,41,28
536,19,d,41,90
537,42,d,41,108
538,43,h,41,88
540,44,d,41,89
541,47,d,42,90
542,20,d,42,101
543,47,h,42,80
544,18,d,42,91
545,15,d,42,102
546,21,d,42,89
547,13,h,42,113
548,21,h,42,113
549,23,h,42,93
551,43,h,42,115
552,11,h,42,109
553,26,d,42,98
554,15,d,42,106
555,64,d,42,88
556,50,h,42,100
557,11,d,42,106
558,41,h,43,90
559,42,d,43,93
560,28,h,43,98
561,38,d,43,101
562,38,d,43,94
563,35,h,43,94
564,34,d,43,96
565,11,d,43,104
566,11,h,44,109
567,44,h,44,77
568,41,h,44,93
569,46,d,44,96
570,42,d,44,82
571,41,d,44,109
572,11,d,45,114
574,10,h,45,122
575,50,h,45,94
576,23,d,45,78
577,23,d,45,116
578,22,h,45,102
579,26,h,45,98
580,38,h,45,122
