User_ID,n,coop_rate,H_D,I_D;T,I_D;S,I_D;S-T,I_D;TS_quad,I_D;T_norm,I_D;S_norm,I_D;S-T_norm,I_D;Opp,phenotype_entropy,phenotype_kmeans
2,14,0.2857142857142857,0.9146453914555226,0.4719609240946346,0.27518324536867256,0.9146453914555226,0.46956521111470695,0.5160042662474674,0.30086331592482984,1.0,0.22600024438491662,Envious,Envious
3,14,0.9285714285714286,0.4227571495297672,0.4227571495297672,0.22837518378373275,0.4227571495297672,0.11340086418110334,1.0,0.5402041906038834,1.0,0.04770911142796047,Trustful,Trustful
4,14,0.6428571428571429,0.9918107815595227,0.7435082799446692,0.603046850067454,0.7974288158134883,0.21188720559545748,0.7496473054825812,0.6080261086890217,0.8040130543445109,-0.003397792480621886,Pessimist,Pessimist
5,14,0.6428571428571429,0.9918107815595227,0.9918107815595227,0.06189681487332355,0.7974288158134883,0.5087256743873156,1.0,0.062407886689835164,0.8040130543445109,-0.006190650859747127,Optimist,
6,14,0.2857142857142857,0.9146453914555226,0.22365842247978096,0.18864235136027652,0.666342889840669,0.07366803175764702,0.2445302021626783,0.206246435091178,0.7285259359152109,-0.012376150985820789,Envious,Undefined
7,14,0.07142857142857142,0.4227571495297672,0.22837518378373275,0.4227571495297672,0.4227571495297672,0.17445464791491358,0.5402041906038834,1.0,1.0,0.0753959373497119,Envious,Envious
8,14,0.5714285714285714,1.036752958923143,0.3646704546967161,0.20530456007018616,0.8423709931771086,0.14185506335644837,0.3517428636765048,0.19802650024113014,0.8125088874133183,-0.0123761509858209,Optimist,Optimist
9,14,0.2857142857142857,0.9146453914555226,-0.024644079135072605,0.4369448529751301,0.4719609240946346,0.34800824598680646,-0.026943861922110825,0.4777204991759671,0.5160042662474674,0.010218535043909238,Envious,Envious
10,14,0.5,1.0515248228888916,0.7682062501545335,-0.02822607757891893,0.6088403555280035,0.016165497444981636,0.7305640660426951,-0.026842996916965234,0.5790071164038855,0.2063066395708809,Envious,Optimist
11,14,0.5,1.0515248228888916,0.6088403555280035,-0.02822607757891893,0.8571428571428572,0.1613644622072603,0.5790071164038855,-0.026842996916965234,0.8151427702752638,0.6893917467430879,Envious,Undefined
18,14,0.42857142857142855,1.036752958923143,0.09746348833254781,0.5401479556934359,0.7534343861887849,-0.0010020795006946415,0.09400840141684419,0.5209996760023506,0.7267250888498682,0.07656045600250283,Envious,
19,14,0.5,1.0515248228888916,0.6627608913968228,0.6088403555280035,0.803222321274038,0.3438756452032403,0.6302855405505275,0.5790071164038855,0.7638643461286218,-0.0515248228888916,Optimist,Optimist
20,14,0.6428571428571429,0.9918107815595227,0.1579666697266383,0.7084922088251646,0.603046850067454,0.0969128859928281,0.15927097452827807,0.7143421124250453,0.6080261086890217,-0.04833996984424238,Undefined,Optimist
22,14,0.21428571428571427,0.8011200801483715,0.8011200801483715,0.5178015074140134,0.276632253664151,0.10773739819270234,1.0,0.6463469338056211,0.34530685289141333,-0.044098103169639136,Envious,
23,14,0.5714285714285714,1.036752958923143,0.5940684915622549,0.5590524204427505,0.6479890274310742,0.240167174249168,0.5730087254144935,0.5392339762631865,0.6250177748266366,-0.050185080484450584,Optimist,Optimist
24,14,0.35714285714285715,0.9918107815595227,0.2397700288499709,0.3547443484526003,0.5491263141986347,0.21188720559545748,0.24174977052876623,0.3576734141716028,0.5536603598270919,-0.026446649383040866,Pessimist,Pessimist
25,14,0.5,1.0515248228888916,0.6627608913968228,0.21054746319101614,0.6627608913968228,0.4588499648058697,0.6302855405505275,0.20023061615661303,0.6302855405505275,0.08535460854447752,Optimist,Optimist
26,14,0.21428571428571427,0.8011200801483715,0.552817578533518,0.4123561486563027,0.8011200801483715,0.0727213270731979,0.6900558258771061,0.5147245199245689,1.0,0.12010175780898513,Envious,
27,13,0.46153846153846156,1.0512157228883472,0.8418812982387717,0.5744786041920062,0.8418812982387717,0.5164103347948164,0.800864446667138,0.5464897372477974,0.800864446667138,-0.051806738121554785,Optimist,Optimist
28,14,0.9285714285714286,0.4227571495297672,0.4227571495297672,0.22837518378373275,0.4227571495297672,0.06062407338396342,1.0,0.5402041906038834,1.0,0.04770911142796047,Trustful,Trustful
29,14,0.6428571428571429,0.9918107815595227,0.46018970721031105,0.9918107815595227,0.5491263141986347,0.06189681487332366,0.4639894179076265,1.0,0.5536603598270919,-0.03541321651870155,Undefined,Optimist
30,14,0.21428571428571427,0.8011200801483715,0.552817578533518,0.21797418291026827,0.6067381144023372,0.26949900579915986,0.6900558258771061,0.2720867798868533,0.7573622599622845,-0.02932623920389077,Envious,Envious
31,14,0.6428571428571429,0.9918107815595227,0.49520577832981555,0.682454496210859,0.9918107815595227,0.46018970721031105,0.49929461096516237,0.6880894107016743,1.0,-0.006190650859747127,Pessimist,Pessimist
32,17,0.8235294117647058,0.7147270241606074,0.3057581979714367,0.3501633451575231,0.7147270241606074,0.18811113914790734,0.4277971695984582,0.48992599037200724,1.0,0.12530303455523784,Trustful,Trustful
33,17,0.5294117647058824,1.0399347534540846,0.6753710744510003,0.6465343099996437,1.0399347534540846,0.8354503403594993,0.649436007603163,0.621706609815872,1.0,-0.04020522180667818,Pessimist,Pessimist
34,17,0.5882352941176471,1.019850024613141,0.6552863456100567,0.2618859021556158,0.49520707970155775,0.487359700182213,0.6425320682407455,0.25678864130532997,0.48556853238240033,0.01089702546986726,Optimist,Optimist
35,17,0.5882352941176471,1.019850024613141,0.42196516806411477,0.8153656115185557,0.5820444339726137,0.1842096398307962,0.41375217716367513,0.7994956040990907,0.5707157130220203,-0.04184397172070664,Pessimist,Pessimist
37,17,0.5294117647058824,1.0399347534540846,0.470886661356415,0.470886661356415,0.6753710744510003,0.22528375360375152,0.45280404351560666,0.45280404351560666,0.649436007603163,0.3492937223306518,Pessimist,Pessimist
38,17,0.23529411764705882,0.8295587932862386,0.39175320264571134,0.260510701188569,0.5094002614692408,0.22970099663609544,0.47224284260047283,0.31403524776896674,0.614061674219964,0.17522874204791372,Envious,Envious
40,17,0.35294117647058826,0.9790995889625321,-0.027754093775664734,0.5701307627733614,0.6145359099594478,0.0429000309715587,-0.028346548286342726,0.5823010950065662,0.6276541394636054,0.45051076384871525,Pessimist,Pessimist
41,17,0.47058823529411764,1.0399347534540846,0.30493295602968806,0.2819706309965594,0.6753710744510003,0.19118739652326977,0.2932231613732212,0.27114261741903506,0.649436007603163,0.2946964508033012,Pessimist,Pessimist
42,17,0.4117647058823529,1.019850024613141,0.21748075496952946,0.49520707970155775,0.8153656115185557,0.14226590323096966,0.21324778126276583,0.48556853238240033,0.7994956040990907,-0.029853410180741724,Envious,Pessimist
43,17,0.35294117647058826,0.9790995889625321,0.5701307627733614,0.08204558552851982,0.6589410571455343,0.4211855289122156,0.5823010950065662,0.08379697678706666,0.6730071839206445,-0.04106685637741425,Envious,Envious
45,17,0.7058823529411765,0.9164132552123273,0.5962547233953295,0.39177031030074405,0.9164132552123273,0.10619660604937098,0.6506395668154985,0.4275039760418713,1.0,0.02128781099430932,Trustful,Trustful
47,16,0.625,0.9995182229527452,0.4892655628694048,0.14700087395640804,0.6593497828971849,0.3108435021023209,0.48950139340534676,0.14707172974009688,0.6596675956035645,-0.025745749509716087,Optimist,Optimist
48,16,0.625,0.9995182229527452,0.5815302517824017,0.5343497828971849,0.6593497828971849,0.21748334126960656,0.5818105547535325,0.5346073444450324,0.6596675956035645,-0.01645702912199798,Pessimist,Pessimist
49,16,0.6875,0.9411224525623375,0.2752307302494308,0.5065930747363436,0.7238577636493406,0.05586979247899726,0.29244943577754057,0.5382860363782345,0.7691430181891172,-0.03190205118527156,Trustful,Trustful
51,16,0.6875,0.9411224525623375,0.33441260585112687,0.7238577636493406,-0.05084005423221338,-0.024564987383686954,0.35533378779843344,0.7691430181891172,-0.05402065809161627,-0.009948331919306663,Trustful,Trustful
52,16,0.625,0.9995182229527452,0.44208509398418805,0.3477241562137544,0.6121693140119682,0.4934109058938354,0.4422981830968466,0.3478917624798462,0.6124643852950644,0.003710720667618461,Undefined,Trustful
53,16,0.4375,1.0337836283162776,0.5686151882607173,0.8165189394032807,0.35135049934772045,0.6110841595405965,0.5500330752836745,0.7898354327134628,0.33986850799713736,0.1361349046017174,Pessimist,Pessimist
54,16,0.25,0.856362344486913,0.34401343554613595,0.5161939044313527,0.6390976555739161,0.3196159651984368,0.4017148088783033,0.6027751077035374,0.7462935049495077,0.05207378160506704,Envious,Envious
55,16,0.4375,1.0337836283162776,0.04182112152172668,0.6464347193755006,0.8636994082884974,0.12313272094751859,0.04045442428783739,0.6253094957871873,0.8354740630737245,0.4016755343196483,Envious,
56,16,0.5,1.0450842200277801,0.526493719205136,0.8278195311147832,0.36474733991665964,0.37448100010953567,0.5037811394675358,0.7921079614930732,0.349012388596743,0.00371072066761835,Pessimist,Pessimist
57,16,0.5625,1.0337836283162776,0.7449410001703647,0.35135049934772045,0.6464347193755006,0.4924101289561159,0.7205966314088852,0.33986850799713736,0.6253094957871873,-0.03822893327345045,Optimist,Optimist
58,16,0.3125,0.9411224525623375,0.21150885470856362,0.7710382325345574,0.7238577636493406,0.2975319517396934,0.22474105695034816,0.8192751436705159,0.7691430181891172,-0.03190205118527156,Envious,Undefined
59,16,0.3125,0.9411224525623375,0.3365088547085636,0.5926161717674734,0.6009540125067773,0.4188212310720749,0.3575611800487505,0.6296908230740782,0.6385502873410319,-0.04320264289677411,Envious,
60,16,0.75,0.856362344486913,0.5161939044313527,0.29059137477905195,0.6390976555739161,0.08725284377380438,0.6027751077035374,0.3393322658916757,0.7462935049495077,0.017194681369072096,Trustful,Optimist
61,16,0.625,0.9995182229527452,0.5649888451267513,0.3642655628694048,0.3949046250989713,0.08524097245002016,0.5652611749865641,0.3644411422468147,0.3950949727883465,-0.04508422002778001,Undefined,Trustful
62,14,0.2857142857142857,0.9146453914555226,0.4719609240946346,0.3830243171063109,0.9146453914555226,0.13472181549145734,0.5160042662474674,0.41876810475892134,1.0,0.07241606384939869,Envious,Envious
63,14,0.5,1.0515248228888916,0.27160124692482635,0.41445838978196914,0.6088403555280035,-0.014113038789459242,0.2582927582999387,0.3941498866791493,0.5790071164038855,0.10031067847344999,Undefined,Pessimist
64,14,0.5714285714285714,1.036752958923143,0.5590524204427505,0.7884504573082894,0.8423709931771086,0.08080127962263806,0.5392339762631865,0.7604998380011754,0.8125088874133183,-0.050185080484450584,Undefined,
65,14,0.2857142857142857,0.9146453914555226,-0.005739614385757874,0.3830243171063109,0.6052891061068588,-0.015268575230676484,-0.006275234576565382,0.41876810475892134,0.6617746197175179,-0.04938624039442263,Pessimist,
66,12,0.5,1.0601122933703735,0.8333333333333334,0.5436470814493375,0.2539608295653416,0.016064748542563123,0.7860802469179462,0.5128202784262992,0.2395603099346522,-0.039391453746465466,Undefined,Trustful
67,14,0.9285714285714286,0.4227571495297672,0.22837518378373275,0.22837518378373275,0.4227571495297672,0.22837518378373275,0.5402041906038834,0.5402041906038834,1.0,0.06062407338396342,Trustful,Trustful
68,14,0.7857142857142857,0.8011200801483715,0.552817578533518,0.30451507691866436,0.35843561278748354,0.06973247136131089,0.6900558258771061,0.3801116517542122,0.4474180858393905,0.20420439844521432,Trustful,
69,14,0.35714285714285715,0.9918107815595227,0.4341519945960053,0.6545716729563456,0.7435082799446692,0.7084922088251646,0.43773671618425536,0.6599763635631157,0.7496473054825812,-0.05103535370186818,Optimist,Envious
70,14,0.8571428571428571,0.6431976014712191,0.24490470913423157,0.14659259824151188,0.3948950998563655,0.16011249429901203,0.3807612288572725,0.2279122277604939,0.613956113880247,0.12808527889139454,Trustful,
71,15,0.4,1.0190404291509674,0.3741192581069418,0.2430219235548743,0.6058682596141385,0.23189222798501774,0.36712896505847786,0.23848114029916612,0.5945478140832243,-0.039103209766359504,Envious,Envious
72,15,0.7333333333333333,0.884730576637466,0.15680190573767172,0.5699740752745006,0.6529815751302693,0.43385114327673946,0.17723124969142337,0.6442346295306776,0.7380569773139423,-0.0372901302820996,Trustful,Undefined
73,15,0.8,0.7700179295836611,0.40717159352439686,0.3065199265692677,0.588594761554029,0.14716262486505527,0.5287819645245785,0.39806855761787147,0.7643909822622893,0.037524332979986585,Trustful,Trustful
74,15,0.26666666666666666,0.884730576637466,0.23980940559344044,0.884730576637466,0.884730576637466,0.5959980436453798,0.27105359747468816,1.0,1.0,0.0034054756798009844,Envious,Envious
75,15,0.5333333333333333,1.0448814666779354,0.5990276307629023,0.36727862925570565,0.500611962589039,0.18082986378038002,0.5732972110869501,0.3515026737180249,0.47910885450066365,0.060758702686438015,Undefined,Trustful
76,15,0.6,1.0190404291509674,0.4244450915845064,0.4244450915845064,0.6561940930917032,0.011129695569856546,0.4165144771911952,0.4165144771911952,0.6439333262159418,0.10798680264773308,Pessimist,Trustful
77,15,0.06666666666666667,0.40144916971772016,0.16970016821052344,0.22002600168808803,0.40144916971772016,0.22002600168808803,0.4227189418023918,0.5480793542126386,1.0,0.07724537168300188,Envious,Envious
78,15,0.4666666666666667,1.0448814666779354,0.6317092971411065,0.6820351306186712,1.0448814666779354,0.7068905956085185,0.6045750807979626,0.6527392363337758,1.0,0.0034054756798009844,Envious,Envious
79,15,0.2,0.7700179295836611,0.5382689280764644,0.588594761554029,0.7700179295836611,0.7700179295836611,0.6990342788089358,0.7643909822622893,1.0,0.262154964738045,Envious,Envious
80,15,0.5333333333333333,1.0448814666779354,0.26886296108184227,0.45028612911147436,0.45028612911147436,-0.08081120544059317,0.25731431713173847,0.43094469896485055,0.43094469896485055,0.03887674072243308,Undefined,Optimist
81,15,0.6666666666666666,0.9663856687507884,0.387198499502422,0.19036716315469526,0.9663856687507884,-0.13328303499686078,0.400666640682844,0.19698881027569043,1.0,0.060758702686438015,Trustful,Optimist
82,15,0.26666666666666666,0.884730576637466,0.3404610725485696,0.884730576637466,0.5218842405782018,-0.11428646015505417,0.38481892854041094,1.0,0.5898792856936074,-0.04692035779776349,Undefined,Undefined
